"variable" "value" "group" "Succession" "Succession_numeric" "Community"
"126" "GH132" 0.9009456164902 "GH" "Managed" 1 "Fungi"
"127" "GH132" 0.960918503740041 "GH" "Managed" 1 "Fungi"
"128" "GH132" 0.951574777945879 "GH" "Managed" 1 "Fungi"
"129" "GH132" 0.846752003249689 "GH" "Managed" 1 "Fungi"
"130" "GH132" 0.967036566721918 "GH" "Managed" 1 "Fungi"
"131" "GH132" 0.955601288669186 "GH" "Managed" 1 "Fungi"
"132" "GH132" 0.910793282415154 "GH" "Managed" 1 "Fungi"
"133" "GH132" 0.879521359233815 "GH" "Managed" 1 "Fungi"
"134" "GH132" 0.944486846211017 "GH" "Managed" 1 "Fungi"
"135" "GH132" 0.844921842428362 "GH" "Managed" 1 "Fungi"
"136" "GH132" 0.932602573979109 "GH" "Managed" 1 "Fungi"
"137" "GH132" 0.460108475035269 "GH" "Managed" 1 "Fungi"
"138" "GH132" 0.867368938232857 "GH" "Managed" 1 "Fungi"
"139" "GH132" 0.856858755601224 "GH" "Managed" 1 "Fungi"
"140" "GH132" 0.812835505011436 "GH" "Managed" 1 "Fungi"
"141" "GH132" 0.766120587666813 "GH" "Managed" 1 "Fungi"
"142" "GH132" 0.879649254471136 "GH" "Managed" 1 "Fungi"
"143" "GH132" 0.877133752279432 "GH" "Managed" 1 "Fungi"
"144" "GH132" 0.788167449726962 "GH" "Managed" 1 "Fungi"
"145" "GH16" 0.817646970529168 "GH" "Managed" 1 "Fungi"
"146" "GH16" 0.954589202569329 "GH" "Managed" 1 "Fungi"
"147" "GH16" 0.970455899898371 "GH" "Managed" 1 "Fungi"
"148" "GH16" 0.951586435665813 "GH" "Managed" 1 "Fungi"
"149" "GH16" 0.913556621725806 "GH" "Managed" 1 "Fungi"
"150" "GH16" 0.896850666093274 "GH" "Managed" 1 "Fungi"
"151" "GH16" 0.953924266717377 "GH" "Managed" 1 "Fungi"
"152" "GH16" 0.950495555238682 "GH" "Managed" 1 "Fungi"
"153" "GH16" 0.897881481600231 "GH" "Managed" 1 "Fungi"
"154" "GH16" 0.961982425052265 "GH" "Managed" 1 "Fungi"
"155" "GH16" 0.911555786193017 "GH" "Managed" 1 "Fungi"
"156" "GH16" 0.915139865427751 "GH" "Managed" 1 "Fungi"
"157" "GH16" 0.877855967443579 "GH" "Managed" 1 "Fungi"
"158" "GH16" 0.967834708278536 "GH" "Managed" 1 "Fungi"
"159" "GH16" 0.86148718478157 "GH" "Managed" 1 "Fungi"
"160" "GH16" 0.894104247550324 "GH" "Managed" 1 "Fungi"
"161" "GH16" 0.582238872818447 "GH" "Managed" 1 "Fungi"
"162" "GH16" 0.828441846220841 "GH" "Managed" 1 "Fungi"
"163" "GH16" 0.862748881823293 "GH" "Managed" 1 "Fungi"
"164" "GH16" 0.892618910042479 "GH" "Managed" 1 "Fungi"
"165" "GH16" 0.793277931433835 "GH" "Managed" 1 "Fungi"
"166" "GH16" 0.890302131436144 "GH" "Managed" 1 "Fungi"
"167" "GH16" 0.897822733815791 "GH" "Managed" 1 "Fungi"
"168" "GH16" 0.846852054099197 "GH" "Managed" 1 "Fungi"
"169" "GH17" 0.800640109868426 "GH" "Managed" 1 "Fungi"
"170" "GH17" 0.959282206813994 "GH" "Managed" 1 "Fungi"
"171" "GH17" 0.965282225619145 "GH" "Managed" 1 "Fungi"
"172" "GH17" 0.962382920878941 "GH" "Managed" 1 "Fungi"
"173" "GH17" 0.906461305301742 "GH" "Managed" 1 "Fungi"
"174" "GH17" 0.883108905934836 "GH" "Managed" 1 "Fungi"
"175" "GH17" 0.967525715700971 "GH" "Managed" 1 "Fungi"
"176" "GH17" 0.959327524799295 "GH" "Managed" 1 "Fungi"
"177" "GH17" 0.884610613909015 "GH" "Managed" 1 "Fungi"
"178" "GH17" 0.96300038636949 "GH" "Managed" 1 "Fungi"
"179" "GH17" 0.950652910431244 "GH" "Managed" 1 "Fungi"
"180" "GH17" 0.925103684017 "GH" "Managed" 1 "Fungi"
"181" "GH17" 0.918966393567993 "GH" "Managed" 1 "Fungi"
