"shannon_bacteria" "Sample" "shannon_fungi" "cazyme_div_bacteria" "cazyme_div_fungi" "pcyc_div_bacteria" "pcyc_div_fungi" "ncyc_div_bacteria"
"61" 5.48069776400998 "Sample_061" 4.02472764072992 3.49852456517431 3.19078669264234 4.05952454340173 3.07881643835224 2.57158515199285
"62" 6.24126776058181 "Sample_062" 2.75716825467145 3.51870220230023 3.05480887505911 4.06480432287195 3.2136720084113 2.72239089064089
"63" 6.29022423525947 "Sample_063" 3.22078428018798 NA NA NA NA NA
"64" 5.38169589405572 "Sample_064" 2.8338687405657 3.59190321703226 3.78347374359005 4.09995957327198 3.19318525979874 2.45683772735482
"65" 6.21860171927003 "Sample_065" 2.60281884371067 3.54169192712221 3.16691373847847 4.05999852064286 3.177056196044 2.72607499299408
"66" 4.94378448313013 "Sample_066" 3.75068673797868 NA NA NA NA NA
"67" 5.82181293650961 "Sample_067" NA NA NA NA NA NA
"68" 5.66352654356422 "Sample_068" 3.57147727331304 NA NA NA NA NA
"69" 5.91497523567553 "Sample_069" NA NA NA NA NA NA
"70" 5.20759097435263 "Sample_070" 3.3683107958474 NA NA NA NA NA
"71" 6.1484018012153 "Sample_071" 4.12046949493428 NA NA NA NA NA
"72" 5.1117439488261 "Sample_072" 4.13500225469095 3.42865177959816 3.55651929897043 4.04897212562589 3.20453933986773 2.42447325288158
"73" 6.03824318996121 "Sample_073" 4.41766713317518 3.39618628325389 2.45147065146919 4.02440556664502 3.00681039482334 2.75070684545098
"74" 4.47558847337707 "Sample_074" 1.6543815653551 NA NA NA NA NA
"75" 6.1064863911001 "Sample_075" 4.06501842382394 NA NA NA NA NA
"76" 4.62726645907792 "Sample_076" 2.68620342612332 3.48168013831701 4.19358390615665 4.03290020536723 3.14624216651026 2.05211524201237
"77" 4.80690201668684 "Sample_077" 3.51628025458617 3.4608833305008 3.32468673622128 4.02543817770897 3.17295655362112 2.84008720130285
"78" 4.85161790787119 "Sample_078" 2.21577290438295 3.41298393561071 3.93401990972998 3.99487447907796 3.14561779134088 2.8869276725891
"79" 6.23474208395762 "Sample_079" 4.09923448582595 3.47312247956107 2.31670412923204 4.0272240455991 3.16759273767034 2.84821178147707
"80" 4.01673824134541 "Sample_080" 2.66258565751324 3.50803587891466 3.86781677770545 4.0044717187747 3.27251946424575 2.70711430188495
"81" 3.52546266318136 "Sample_081" 2.86751353179882 3.61161736262885 4.01462228986308 4.02938315667901 3.16624029372803 2.75998121279943
"82" 4.41842748501047 "Sample_082" 3.02017582323585 NA NA NA NA NA
"83" 5.37771989333535 "Sample_083" 2.07804876692276 3.42324550301759 3.33567882340493 4.07141496895025 3.1106818448198 2.6719631398236
"84" 5.79659099537054 "Sample_084" 2.40910386396886 3.35031313503365 3.05512434769182 4.01721452161086 3.22728043670764 2.7376524686146
"85" 5.61837147403873 "Sample_085" 3.88053549325673 3.42761108968143 3.3015143733622 4.0535111307909 3.12995684391031 2.51190449290878
"86" 3.54305009832664 "Sample_086" 2.33336463241171 3.57568541456524 3.19024760900025 3.9902167211331 3.24041519083443 2.95571336167559
"87" 5.25119794101883 "Sample_087" 3.81768352399556 3.51974268372817 3.80557050533311 4.04499583766467 3.17346240623752 2.47143462778951
"88" 4.93072234403674 "Sample_089" 3.82497025964621 3.4844761868738 3.86293946966786 4.06130581481264 3.05898814158759 2.27083321847903
"89" 5.29081902435789 "Sample_090" 3.25938216916859 3.36903531538849 2.99287675351786 4.00746480805045 3.14986550562617 2.85555636489736
"90" 4.88725615191002 "Sample_091" 3.22454918279422 NA NA NA NA NA
"91" 5.99372229281857 "Sample_092" 4.11810687676063 NA NA NA NA NA
"92" 5.0156370130391 "Sample_093" 4.09418311852337 3.41737673639825 3.54625256517793 4.06135059242706 3.20798191061327 2.30589980404635
"93" 5.12668822495408 "Sample_095" 4.31908285897846 3.45259091968446 3.39383047672999 4.05129286927701 3.14148135796278 2.23530172896258
"94" 6.07620141472492 "Sample_096" 3.42353203146544 3.4883392843542 2.41729417098035 4.036154839707 3.1556917022209 3.02731386807597
"95" 4.62908086829638 "Sample_097" 2.93983189661419 NA NA NA NA NA
"96" 5.88331081701142 "Sample_098" NA NA NA NA NA NA
"97" 5.52943535814058 "Sample_099" 3.32380046684971 3.51704981085356 3.14919195073976 4.06610643428817 3.071692756923 2.62793431398287
"98" 5.55300061248347 "Sample_100" 4.44146108146302 3.52501649788762 3.28815247963529 4.03252699291156 3.28205819619693 2.65151137282934
"99" 5.55068023522506 "Sample_101" 4.15236716971351 NA NA NA NA NA
"100" 5.74844151086062 "Sample_102" 3.95419470250233 NA NA NA NA NA
"101" 5.17674953579557 "Sample_103" 4.147561443214 NA NA NA NA NA
"102" 6.03388984668582 "Sample_104" 3.74787410661943 NA NA NA NA NA
"103" 5.4136819800996 "Sample_105" 4.05770463054866 NA NA NA NA NA
"104" 5.85404803456331 "Sample_106" 4.39520284345307 NA NA NA NA NA
